,0
0,529242.56
1,1572994.0
2,1025744.0
3,462333.9
4,262996.88
5,582017.1
6,356698.5
7,264042.75
8,477314.03
9,301060.75
10,441725.53
11,942083.94
12,614622.06
13,539272.3
14,450008.78
15,537463.6
16,1406712.1
17,713706.75
18,679996.9
19,459423.2
20,401491.12
21,439024.16
22,628013.56
23,686340.06
24,576578.7
25,1023253.2
26,1206578.0
27,339515.47
28,257659.89
29,1504434.9
30,389871.28
31,474313.4
32,1419673.6
33,347514.38
34,249207.58
35,1417249.4
36,1056811.0
37,832228.75
38,1819362.8
39,533303.44
40,552025.56
41,685842.5
42,346606.06
43,379248.03
44,475218.53
45,670928.2
46,436149.38
47,717575.44
48,901818.3
49,953259.56
50,593193.4
51,775153.4
52,609018.2
53,415189.78
54,437290.34
55,577348.3
56,281698.62
57,868291.3
58,524239.75
59,952440.1
60,509584.47
61,694074.06
62,677793.6
63,500444.62
64,674551.94
65,342390.7
66,895218.0
67,373708.3
68,413004.1
69,1495672.2
70,532032.2
71,447475.88
72,524305.94
73,379400.75
74,549285.1
75,484035.28
76,519343.56
77,431018.62
78,569851.94
79,416891.75
80,538572.44
81,541399.2
82,693017.7
83,478836.2
84,762792.9
85,584075.5
86,282636.5
87,373433.94
88,661094.1
89,956512.7
90,546595.06
91,272612.4
92,481214.4
93,433377.16
94,1329439.6
95,789458.5
96,496578.03
97,2102021.2
98,258368.47
99,1167739.9
100,534003.4
101,1755615.1
102,429947.0
103,1013426.75
104,754659.75
105,354226.34
106,598566.06
107,395894.75
108,785860.4
109,310770.0
110,395841.6
111,605001.44
112,432368.88
113,458699.47
114,994961.8
115,349584.3
116,385974.0
117,1445678.6
118,1093652.0
119,1496238.4
120,732645.0
121,602330.75
122,844713.2
123,379575.56
124,1005853.1
125,606442.6
126,364430.94
127,793532.9
128,797544.94
129,509202.78
130,406066.56
131,384865.66
132,364743.66
133,284975.06
134,631896.75
135,684820.44
136,1023848.6
137,524920.75
138,769392.5
139,331974.94
140,376115.6
141,296867.9
142,553624.44
143,493123.38
144,698057.1
145,849372.5
146,879496.2
147,576843.5
148,764193.9
149,520791.84
150,644959.8
151,364555.56
152,295859.25
153,484292.97
154,639675.0
155,490108.53
156,322253.8
157,257559.56
158,367622.56
159,719220.44
160,823703.75
161,734969.56
162,364606.62
163,440408.25
164,730299.5
165,324245.03
166,471388.6
167,311909.12
168,331207.53
169,793223.5
170,537743.0
171,362827.03
172,799570.5
173,406513.38
174,555170.75
175,463865.72
176,489843.06
